_id,psuedocode,item_desc,cpp_b,cpp_g,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g
1,1015166,General,20,20,2,11,4,4,2,3,2,1,16,3,7,9,16,14,5,12,17,9,3,4,0,0,0,0
2,1015166,SC,4,5,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
3,1015166,ST,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1015166,OBC,0,0,7,3,13,9,11,13,11,10,1,4,1,2,4,1,1,2,4,1,4,14,0,0,0,0
5,1015166,Muslim,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0
6,1015166,Christian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1015166,Sikh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1015166,Buddhist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1015166,Parsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1015166,Jain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,1015166,Aadhar,0,0,7,8,7,8,0,2,9,6,17,5,9,11,19,15,5,14,20,10,8,18,0,0,0,0
12,1015166,BPL,0,0,0,0,0,2,0,0,0,0,0,0,1,3,1,1,2,4,7,4,1,6,0,0,0,0
13,1015166,Total repeaters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1015166,Total CWSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1019791,General,0,0,1,1,1,0,1,1,2,1,3,0,4,2,2,1,3,1,4,0,1,2,0,0,0,0
16,1019791,SC,0,1,5,1,3,2,2,2,2,5,3,0,3,3,3,1,3,5,3,2,6,5,0,0,0,0
17,1019791,ST,0,0,0,1,0,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
18,1019791,OBC,2,10,7,2,3,6,12,11,14,9,7,10,16,18,15,17,10,19,20,19,16,21,0,0,0,0
19,1019791,Muslim,0,0,1,1,0,1,1,0,0,0,1,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0
20,1019791,Christian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1019791,Sikh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
